,TOTAL CONSUMPTION,TEMP,HIGH_TEMP,LOW_TEMP,RAIN_COND,Temp_Dif
2326,1242460.0,31.3,35.9,26.4,0,9.5
2327,1256044.0,32.1,36.3,25.6,0,10.699999999999996
2328,1245511.0,31.1,33.8,28.6,0,5.199999999999996
2329,1252300.0,30.1,35.4,24.8,0,10.599999999999998
2330,1257390.0,28.6,33.7,24.8,0,8.900000000000002
2331,1240063.0,28.6,32.4,24.6,0,7.799999999999997
2332,1197206.0,29.1,33.7,25.5,0,8.200000000000003
2333,1242143.0,30.3,35.3,26.4,0,8.899999999999999
2334,1262318.0,31.1,35.7,26.8,0,8.900000000000002
2335,1279011.0,31.4,35.8,27.8,0,7.9999999999999964
2336,1273088.0,31.8,36.8,26.7,0,10.099999999999998
2337,1299194.0,31.9,37.2,27.4,0,9.800000000000004
2338,1284187.0,32.1,36.0,29.2,0,6.800000000000001
2339,1240839.0,30.6,33.7,28.0,0,5.700000000000003
2340,1262060.0,30.4,35.0,26.9,0,8.100000000000001
2341,1256010.0,30.7,35.4,26.6,0,8.799999999999997
2342,1223652.0,31.5,36.1,26.7,0,9.400000000000002
2343,1230322.0,31.2,34.4,27.8,0,6.599999999999998
2344,1270067.0,30.1,33.6,27.7,0,5.900000000000002
2345,1211415.0,29.0,32.3,26.7,0,5.599999999999998
2346,1179038.0,29.6,33.2,26.3,0,6.900000000000002
2347,1191165.0,28.7,33.2,26.3,0,6.900000000000002
2348,1164361.0,28.8,33.4,23.8,0,9.599999999999998
2349,1209677.0,29.4,33.6,24.8,0,8.8
2350,1189512.0,29.2,33.5,25.7,0,7.800000000000001
2351,1156848.0,28.8,34.4,24.8,0,9.599999999999998
2352,1075595.0,29.2,33.1,26.3,0,6.800000000000001
2353,1119838.0,29.6,33.3,25.2,0,8.099999999999998
2354,1166555.0,30.9,35.8,25.6,0,10.199999999999996
2355,1187467.0,29.2,33.4,25.7,0,7.699999999999999
2356,1202699.0,29.7,35.2,24.7,0,10.500000000000004
2357,1211625.0,29.7,33.4,25.9,0,7.5
2358,1166231.0,28.8,33.1,26.4,1,6.700000000000003
2359,1180559.0,27.9,32.2,25.1,0,7.100000000000001
2360,1163091.0,26.6,30.1,24.1,0,6.0
2361,1225865.0,26.8,30.7,23.1,0,7.599999999999998
2362,1234688.0,27.5,31.3,24.2,0,7.100000000000001
2363,1241785.0,27.7,31.6,23.4,0,8.200000000000003
2364,1250693.0,27.8,31.4,24.8,0,6.599999999999998
2365,1267996.0,28.4,33.4,24.3,0,9.099999999999998
2366,1275749.0,28.3,33.5,21.6,0,11.899999999999999
2367,1278486.0,30.1,33.9,27.2,0,6.699999999999999
2368,1323433.0,29.8,34.2,26.5,0,7.700000000000003
2369,1313281.0,28.9,34.6,24.4,0,10.200000000000003
2370,1313167.0,27.1,31.5,23.0,0,8.5
2371,1324927.0,27.9,31.9,24.3,0,7.599999999999998
2372,1275090.0,28.9,34.6,23.7,0,10.900000000000002
2373,1304877.0,29.8,35.9,24.4,0,11.5
2374,1308076.0,31.2,37.6,25.2,0,12.400000000000002
2375,1311473.0,30.8,35.3,27.1,0,8.199999999999996
2376,1291991.0,28.0,32.3,25.1,0,7.199999999999996
2377,1296181.0,25.8,30.2,22.8,0,7.399999999999999
2378,1316492.0,26.4,30.4,23.2,0,7.199999999999999
2379,1305752.0,27.5,32.1,23.6,0,8.5
2380,1278518.0,26.7,31.2,23.9,0,7.300000000000001
2381,1248336.0,25.3,29.1,22.4,0,6.700000000000003
2382,1257994.0,25.9,31.3,22.0,0,9.3
2383,1268766.0,25.3,30.6,21.1,0,9.5
2384,1268528.0,26.2,31.3,21.5,0,9.8
2385,1254807.0,27.2,33.2,22.3,0,10.900000000000002
2386,1276057.0,28.1,34.1,21.3,0,12.8
2387,1284049.0,28.4,32.9,23.8,0,9.099999999999998
